Crop,Soil_Type,Rainfall_mm,Temperature_C,Humidity_%,Soil_pH,Nitrogen_kg/ha,Phosphorus_kg/ha,Potassium_kg/ha,Yield_tonnes_per_hectare
Sugarcane,Red,1804.0356789723874,26.685944985930153,68.5213489639297,7.078750235870099,134.24989973777872,66.86885140542292,20.9062780718168,2385.7882099898734
Barley,Forest,1215.4253336919319,29.673628607858003,64.54578258761487,7.024568888110219,115.03504953037077,68.40625611495764,72.7056684766064,6.675751880595287
Cotton,Red,935.7423260098014,35.95073530900814,49.928810552528745,6.390422340357318,66.06107476733763,40.39791867280326,74.76566126460006,2.3324227908150816
Jowar,Arid,1238.176575040065,28.601395046617515,61.85702679232241,6.130422490830433,50.04088465974312,65.42996612257501,68.49487362943147,4.979876495781181
Sugarcane,Forest,2096.0903630976463,33.45473941346228,55.512513545888915,7.650684804239713,112.66396083670219,35.70052188610266,89.34747487434294,2041.4047023589542
Soybean,Red,2429.60475577549,34.76647627516908,62.02555995833437,5.805285189690869,27.469719655848998,69.38704543957394,78.64495294665318,6.133566696096492
Maize,Red,1735.495483953074,27.82738114171712,72.62370624221413,5.648847988015067,70.8369169943737,53.25763475555442,28.746787582638046,11.77866206682639
Sugarcane,Black,2042.4125735166235,28.40618795884172,73.48684554035759,6.643730894512288,118.64469876637257,35.084151748626994,36.26685327446771,2754.5745549976596
Cotton,Red,1518.9322087564815,19.94586793054706,53.12638130609898,7.731776425777889,96.05937970398496,62.18312160222238,54.3908390480148,3.244463311675511
Jowar,Arid,1712.1285983962193,21.118479442677106,44.64632556387811,8.10559901429619,115.40087006909988,26.997699930466016,48.55920684608792,5.733057290210951
Barley,Alluvial,2474.9819791467758,37.623579579855296,80.94407289687899,7.120380778600674,94.47912017634422,77.52647571427359,71.35369292413553,7.21451255826313
Cotton,Alluvial,1320.6796158740142,36.008240316582956,69.07138810105356,8.019797268104487,51.15937100108869,56.53216093783331,26.596131264357588,3.093565961584313
Cotton,Alluvial,539.1348636038199,15.25306396350285,64.3155742300348,5.575873649702776,82.8179400524922,38.08414548442866,45.115939851050314,1.437394315065267
Maize,Arid,2409.714527420645,36.73468964970156,47.12775078424984,6.866108435609931,120.49806843918287,48.55097288272736,35.63859517688675,10.488611952487584
Bajra,Alluvial,2065.42961389745,15.630872139670052,62.806506302078525,5.900165610539219,49.950822384119434,61.629770544883,39.95907427424391,3.2986769956841244
Jowar,Black,1236.4517725134997,26.45701007355821,84.99964791413021,7.248152561209665,145.1926861603423,65.81255039247745,75.42139299326905,7.051506211713236
Wheat,Arid,2463.0296126078147,16.685818152772566,71.97895962055048,8.26296474822832,46.3722223142646,78.24710881536278,21.84041866077895,5.757968804780405
Cotton,Forest,1125.625075732115,39.22057846142923,45.00365320047529,5.5215713897954375,21.846910946242783,24.627020810015594,90.42438597673765,1.9460772410607503
Bajra,Arid,1181.4524116168604,39.3079813951054,58.275132322004765,7.504663263654881,121.14919798260586,45.31070739739985,69.48857012379273,3.212591703611137
Wheat,Arid,1680.4358416988337,30.27177354916543,93.88911142524725,7.877049155037991,140.69237460568436,16.40203921957312,49.9906788744932,10.746612369044975
Jowar,Red,976.129510926249,24.80512277058834,69.94791092711401,7.733443820689121,52.063547618152484,15.759188732471614,56.290587738528615,4.400317168276545
Rice,Red,1867.0001187745388,27.799818754864482,55.751784377774634,5.559307273594279,40.157341865292395,17.303283849290263,74.34619899381136,8.226933910769272
Soybean,Red,720.9856382960625,34.057483012047896,90.23946104110563,6.02165072306163,49.11073468274125,28.165262647080816,77.11419364593469,2.945548217892817
Bajra,Laterite,626.8531706521223,20.57982399300459,58.48003487018637,5.783197967726838,101.62239331229489,58.74341950735754,83.40001983879377,2.7936504371559363
Groundnut,Black,1523.2438158847267,26.043062280423236,80.14490339745316,5.756362596786923,95.27267020061271,70.27942496158869,37.410820472794285,4.428222035044761
Rice,Arid,1566.5367330282422,33.43171725632712,48.09712781449658,7.690552397966361,100.77507573202769,40.519693261986106,87.9179392698915,7.214051278097279
Soybean,Arid,623.9756462223503,24.88481194592818,48.607121275441706,6.774368068204171,21.005437121558153,48.8642266294566,85.60084273805862,3.1870356588652777
Maize,Red,2424.770148375417,15.799913052317411,70.87227111808704,7.674464259650527,40.4083207855675,24.445690114728432,87.68218542099041,8.581770406752982
